trial,model,arm,state,stopped_by,submitted,builds_used,routes_used,tokens,first_build_meeting_bars,best_latency,best_interval,model_seconds,tool_seconds,wall_seconds,steady_result,steady_latency,steady_interval_first,steady_interval,meets_bars_steady,meets_bars_visible,routed_lut,routed_ff,routed_dsp,routed_wns,passes,failed_bars
anthropic_claude-opus-5__hls,anthropic/claude-opus-5,hls,complete,submit,True,3,1,300414,3,32,13,1142.1,1188.1,2330.3,CORRECT,32,13,13,yes,yes,7894,9933,64,0.819,yes,
anthropic_claude-opus-5__rtl,anthropic/claude-opus-5,rtl,complete,submit,True,2,1,204401,2,34,8,588.8,376.7,965.4,CORRECT,34,8,8,yes,yes,1391,5591,64,2.061,yes,
anthropic_claude-opus-5__spmw,anthropic/claude-opus-5,spmw,complete,submit,True,1,1,107350,1,33,14,639.3,591.5,1230.8,CORRECT,33,14,14,yes,yes,8294,11048,64,1.364,yes,
deepseek_deepseek-v4-pro__hls,deepseek/deepseek-v4-pro,hls,complete,submit,True,2,1,187897,2,39,8,1394.4,833.8,2228.2,CORRECT,39,8,24,no,yes,6360,10193,64,1.031,no,interval
deepseek_deepseek-v4-pro__rtl,deepseek/deepseek-v4-pro,rtl,complete,tokens,False,4,2,503813,1,31,8,4060.3,718.5,4778.8,CORRECT,32,8,8,yes,yes,9364,8529,0,1.050,no,multipliers
deepseek_deepseek-v4-pro__spmw,deepseek/deepseek-v4-pro,spmw,complete,submit,True,2,1,67083,2,35,14,507.5,507.2,1014.7,CORRECT,35,14,25,no,yes,7308,8488,64,1.399,no,interval
moonshotai_kimi-k3__hls,moonshotai/kimi-k3,hls,complete,builds,False,8,0,317380,,72,14,1353.4,590.9,1944.3,CORRECT,74,32,32,no,no,7113,12649,64,1.448,no,"latency,interval"
moonshotai_kimi-k3__rtl,moonshotai/kimi-k3,rtl,complete,submit,True,2,2,122374,1,32,16,264.0,640.2,904.1,CORRECT,32,16,16,yes,yes,1237,3284,64,2.004,yes,
moonshotai_kimi-k3__spmw,moonshotai/kimi-k3,spmw,complete,submit,True,1,1,62073,1,35,14,4824.4,491.1,5315.6,CORRECT,35,14,25,no,yes,7303,8488,64,1.274,no,interval
openai_gpt-5_6-sol__hls,openai/gpt-5.6-sol,hls,complete,builds,False,8,0,296563,,,,414.2,1629.0,2043.2,BUILD_FAIL,,,,no,no,,,,,no,"correct,latency,interval,multipliers,logic,timing"
openai_gpt-5_6-sol__rtl,openai/gpt-5.6-sol,rtl,complete,submit,True,7,3,524554,4,30,8,390.6,1202.5,1593.1,CORRECT,30,8,8,yes,yes,7481,7412,64,1.331,yes,
openai_gpt-5_6-sol__spmw,openai/gpt-5.6-sol,spmw,complete,submit,True,2,1,44014,2,34,14,156.6,694.1,850.7,CORRECT,34,14,14,yes,yes,8378,10992,64,1.288,yes,
z-ai_glm-5_3__hls,z-ai/glm-5.3,hls,complete,builds,False,8,0,478484,8,44,15,2916.1,1855.0,4771.1,CORRECT,44,15,15,yes,yes,9104,17013,64,1.054,yes,
z-ai_glm-5_3__rtl,z-ai/glm-5.3,rtl,complete,tokens,False,5,3,527420,2,31,16,2667.6,1174.5,3842.1,CORRECT,33,16,16,yes,yes,3768,5252,64,1.763,yes,
z-ai_glm-5_3__spmw,z-ai/glm-5.3,spmw,complete,submit,True,5,3,205076,4,53,14,1865.1,1816.9,3682.0,CORRECT,53,14,28,no,yes,3875,6408,64,1.259,no,interval
