run_id,experiment_id,system,variant,workload,array_size,weight_mode,reorder_program,implementation_mode,target_mhz,status,validation_pass,tiles,first_output_cycles,completion_cycles,cycles_per_tile,lut,ff,dsp,bram_18k_equiv,uram,wns_ns,tns_ns,unrouted,hls_wall_s,total_wall_s,report_paths,failure_reason,source
spmw_gemm128_N4_stream_general,E4,SPMW port,feather_stream (every operand streamed),"gemm M=N=K=128 int8, drivers' tiling Mt=2 Kt=8 Nt=4 (loop n,m,k), 32768 tiles, host accumulates the K partials",4x4,"general (int8 -128..127 on the SPMW port / uint8 0..255 with zero point 0 on the RTL: the same stored bytes, seed 0)","drivers' GEMM layout program for AW=4 (examples/feather/gemm.py), one program for every tile",cosim,300,pass,"SPMW COSIM PASS (524288/524288 tokens, 0 errors); host reduction vs numpy: pass (0 bad elements)",32768,50,262182,8.0,,,,,,,,,146.8,754.4,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/spmw_gemm128_N4_stream_general; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/spmw_gemm128_N4_stream_general; run dir /scratch/hc676/e4b_spmw/wl_gemm_N4_stream,,this agent (e4b_* dirs)
rtl_fixed_gemm128_N4_feed_general,E4,FEATHER RTL,corrected controller,"gemm M=N=K=128 int8, drivers' tiling Mt=2 Kt=8 Nt=4 (loop n,m,k), 32768 tiles, host accumulates the K partials; a weight feed per tile (MODE 0)",4x4,"general (int8 -128..127 on the SPMW port / uint8 0..255 with zero point 0 on the RTL: the same stored bytes, seed 0)","drivers' GEMM layout program for AW=4 (examples/feather/gemm.py), one program for every tile",rtl_sim,300,pass,32768/32768 tiles bit-exact vs the RTL-arithmetic model; host reduction vs numpy: pass (0 bad elements); signed_equals_rtl=True,32768,81,2097169,64.0,,,,,,,,,,105.2,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_fixed_gemm128_N4_feed_general; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_fixed_gemm128_N4_feed_general; run dir /scratch/hc676/e4b_rtl_runs/wl_gemm_N4_m0,,this agent (e4b_* dirs)
spmw_gemm128_N4_resident_general,E4,SPMW port,feather_stream_x (weights and commands resident),"gemm M=N=K=128 int8, drivers' tiling Mt=2 Kt=8 Nt=4 (loop n,m,k), 32768 tiles, host accumulates the K partials; every tile's activations through tile 0's resident weights (datapath throughput, not the workload's result)",4x4,"general (int8 -128..127 on the SPMW port / uint8 0..255 with zero point 0 on the RTL: the same stored bytes, seed 0)","drivers' GEMM layout program for AW=4 (examples/feather/gemm.py), one program for every tile",cosim,300,pass,"SPMW COSIM PASS (524288/524288 tokens, 0 errors)",32768,50,131118,4.0,,,,,,,,,172.0,870.0,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/spmw_gemm128_N4_resident_general; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/spmw_gemm128_N4_resident_general; run dir /scratch/hc676/e4b_spmw/wl_gemm_N4_x,,this agent (e4b_* dirs)
rtl_fixed_gemm128_N4_resident_general,E4,FEATHER RTL,corrected controller,"gemm M=N=K=128 int8, drivers' tiling Mt=2 Kt=8 Nt=4 (loop n,m,k), 32768 tiles, host accumulates the K partials; one feed, then every tile's activations through tile 0's resident weights (MODE 1; datapath throughput, not the workload's result)",4x4,"general (int8 -128..127 on the SPMW port / uint8 0..255 with zero point 0 on the RTL: the same stored bytes, seed 0)","drivers' GEMM layout program for AW=4 (examples/feather/gemm.py), one program for every tile",rtl_sim,300,pass,32768/32768 tiles bit-exact vs the RTL-arithmetic model; signed_equals_rtl=True,32768,81,131149,4.0,,,,,,,,,,38.8,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_fixed_gemm128_N4_resident_general; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_fixed_gemm128_N4_resident_general; run dir /scratch/hc676/e4b_rtl_runs/wl_gemm_N4_m1,,this agent (e4b_* dirs)
spmw_gemm128_N8_stream_general,E4,SPMW port,feather_stream (every operand streamed),"gemm M=N=K=128 int8, drivers' tiling Mt=4 Kt=16 Nt=8 (loop n,m,k), 4096 tiles, host accumulates the K partials",8x8,"general (int8 -128..127 on the SPMW port / uint8 0..255 with zero point 0 on the RTL: the same stored bytes, seed 0)","drivers' GEMM layout program for AW=8 (examples/feather/gemm.py), one program for every tile",cosim,300,pass,"SPMW COSIM PASS (262144/262144 tokens, 0 errors); host reduction vs numpy: pass (0 bad elements)",4096,132,65644,16.0,,,,,,,,,,63.8,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/spmw_gemm128_N8_stream_general; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/spmw_gemm128_N8_stream_general; run dir /scratch/hc676/e4b_spmw/wl_gemm_N8_stream,,this agent (e4b_* dirs)
rtl_fixed_gemm128_N8_feed_general,E4,FEATHER RTL,corrected controller,"gemm M=N=K=128 int8, drivers' tiling Mt=4 Kt=16 Nt=8 (loop n,m,k), 4096 tiles, host accumulates the K partials; a weight feed per tile (MODE 0)",8x8,"general (int8 -128..127 on the SPMW port / uint8 0..255 with zero point 0 on the RTL: the same stored bytes, seed 0)","drivers' GEMM layout program for AW=8 (examples/feather/gemm.py), one program for every tile",rtl_sim,300,pass,4096/4096 tiles bit-exact vs the RTL-arithmetic model; host reduction vs numpy: pass (0 bad elements); signed_equals_rtl=True,4096,539,2097179,512.0,,,,,,,,,,345.5,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_fixed_gemm128_N8_feed_general; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_fixed_gemm128_N8_feed_general; run dir /scratch/hc676/e4b_rtl_runs/wl_gemm_N8_m0,,this agent (e4b_* dirs)
spmw_gemm128_N8_resident_general,E4,SPMW port,feather_stream_x (weights and commands resident),"gemm M=N=K=128 int8, drivers' tiling Mt=4 Kt=16 Nt=8 (loop n,m,k), 4096 tiles, host accumulates the K partials; every tile's activations through tile 0's resident weights (datapath throughput, not the workload's result)",8x8,"general (int8 -128..127 on the SPMW port / uint8 0..255 with zero point 0 on the RTL: the same stored bytes, seed 0)","drivers' GEMM layout program for AW=8 (examples/feather/gemm.py), one program for every tile",cosim,300,pass,"SPMW COSIM PASS (262144/262144 tokens, 0 errors)",4096,96,32856,8.0,,,,,,,,,,39.6,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/spmw_gemm128_N8_resident_general; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/spmw_gemm128_N8_resident_general; run dir /scratch/hc676/e4b_spmw/wl_gemm_N8_x,,this agent (e4b_* dirs)
rtl_fixed_gemm128_N8_resident_general,E4,FEATHER RTL,corrected controller,"gemm M=N=K=128 int8, drivers' tiling Mt=4 Kt=16 Nt=8 (loop n,m,k), 4096 tiles, host accumulates the K partials; one feed, then every tile's activations through tile 0's resident weights (MODE 1; datapath throughput, not the workload's result)",8x8,"general (int8 -128..127 on the SPMW port / uint8 0..255 with zero point 0 on the RTL: the same stored bytes, seed 0)","drivers' GEMM layout program for AW=8 (examples/feather/gemm.py), one program for every tile",rtl_sim,300,pass,4096/4096 tiles bit-exact vs the RTL-arithmetic model; signed_equals_rtl=True,4096,539,33299,8.0,,,,,,,,,,20.1,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_fixed_gemm128_N8_resident_general; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_fixed_gemm128_N8_resident_general; run dir /scratch/hc676/e4b_rtl_runs/wl_gemm_N8_m1,,this agent (e4b_* dirs)
spmw_gemm128_N16_stream_general,E4,SPMW port,feather_stream (every operand streamed),"gemm M=N=K=128 int8, drivers' tiling Mt=8 Kt=32 Nt=16 (loop n,m,k), 512 tiles, host accumulates the K partials",16x16,"general (int8 -128..127 on the SPMW port / uint8 0..255 with zero point 0 on the RTL: the same stored bytes, seed 0)","drivers' GEMM layout program for AW=16 (examples/feather/gemm.py), one program for every tile",cosim,300,pass,"SPMW COSIM PASS (131072/131072 tokens, 0 errors); host reduction vs numpy: pass (0 bad elements)",512,384,16720,32.0,,,,,,,,,,69.8,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/spmw_gemm128_N16_stream_general; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/spmw_gemm128_N16_stream_general; run dir /scratch/hc676/e4b_spmw/wl_gemm_N16_stream,,this agent (e4b_* dirs)
rtl_fixed_gemm128_N16_feed_general,E4,FEATHER RTL,corrected controller,"gemm M=N=K=128 int8, drivers' tiling Mt=8 Kt=32 Nt=16 (loop n,m,k), 512 tiles, host accumulates the K partials; a weight feed per tile (MODE 0)",16x16,"general (int8 -128..127 on the SPMW port / uint8 0..255 with zero point 0 on the RTL: the same stored bytes, seed 0)","drivers' GEMM layout program for AW=16 (examples/feather/gemm.py), one program for every tile",rtl_sim,300,pass,512/512 tiles bit-exact vs the RTL-arithmetic model; host reduction vs numpy: pass (0 bad elements); signed_equals_rtl=True,512,4141,2097197,4096.0,,,,,,,,,,1194.2,/scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/reports/rtl_fixed_gemm128_N16_feed_general; /scratch/hc676/spmw_eval_remaining_2026-09-06/e4_feather/validation/rtl_fixed_gemm128_N16_feed_general; run dir /scratch/hc676/e4b_rtl_runs/wl_gemm_N16_m0,,this agent (e4b_* dirs)
