package,experiment,run_id,experiment_id,system,workload,size,mode,implementation_mode,target_mhz,status,validation_pass,first_output_cycles,completion_cycles,tokens_checked,lut,ff,dsp,bram_18k_equiv,bram_36k,bram_18k,uram,wns_ns,tns_ns,achieved_ns,hls_wall_s,hls_sum_job_s,vivado_total_s,synth_s,place_s,route_s,unrouted,roles,instances,report_paths,failure_reason,numeric_semantics,array_shape,steady_interval_cycles,total_wall_s,axi_masters,axi_width_bits,autosa_command,variant,tiles_per_launch,tile_interval_cycles,launch_interval_cycles,last_output_cycles,first_output_cold_cycles,completion_cold_cycles,cosim_latency_min,cosim_latency_avg,cosim_latency_max,cosim_interval_min,cosim_interval_avg,cosim_interval_max,cosim_wall_s,vcd_wall_s,top_port_bits,numeric_validation,provenance,notes,vivado_synth_s,source_agent,build_dir,build_state,collected_at,run_total_wall_s,gen_s,csim_s,cosim_s,export_s,wrapper_synth_s,opt_s,phys_opt_s,cosim_total_cycles,cosim_latency_cold_launch0,cosim_interval_cold_launch0,vcd_latency_warm,vcd_first_output_cold_launch0,vcd_latency_cold_launch0,vcd_last_output_warm,output_beats_per_launch,first_output_method,hls_est_period_ns,hls_est_latency_cycles,hls_est_lut,hls_est_ff,hls_est_dsp,hls_est_bram18k,hls_est_uram,cp_post_synth_ns,cp_post_impl_ns,timing_met,nets_with_routing_errors,srl,clb,pe_count,tiles_folded,output_stationary,tb_seed_results,axi_data_widths,transforms_streamed,interface,unroll_factor,transform_size,config,ordering,stimulus,seeds,transforms_completed,max_abs_error,max_norm_error,run_by,reps,launches_per_block,device_kernel_s_mean,device_kernel_s_best,transfer_s_mean,pack_s_mean,host_math_s_mean,wall_s_mean,hybrid,array_size,weight_mode,reorder_program,tiles,cycles_per_tile,source,design,workers,projects,repetitions,completed_jobs,timed_out_repetitions,completed_jobs_when_timed_out,timeout_s,frontend_s_median,hls_wall_s_median,hls_wall_s_min,hls_wall_s_max,hls_sum_job_elapsed_s_median,cpu_s_median,load_start,M,d,groups,dsp_count,cycles_per_query_row,kind,in_paper_table,hls_design_lines,spmw_design_lines,ratio_design,hls_config_lines,spmw_config_lines,hls_test_lines,spmw_test_lines
e1_gemm/spmw,E1,S16_cosim,E1,SPMW (gemm8),"16x16 int8 OS GEMM, one tile",16,cosim,rtl_cosim,300,pass,True,22,52,256,,,,,,,,,,,91.0,427.0,,,,,,9,256,reports/S16_cosim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/spmw,E1,S16_memcosim,E1,SPMW (gemm8),"16x16 int8 OS GEMM, one tile",16,memcosim,rtl_cosim_memory,300,unsupported,,,,,,,,,,,,,,,92.5,515.0,,,,,,9,256,reports/S16_memcosim,"allo.spmw.errors.SPMWBindingError: a memory-mapped fabric has no mover for ['pe_c_mem'], so those channels would still have to be driven from outside; a `MemOut` gathered per site is not a transfer th",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/spmw,E1,S16_pnr,E1,SPMW (gemm8),"16x16 int8 OS GEMM, one tile",16,pnr,pnr_ooc,300,pass,,,,,9026,18048,256,0,0,0,0,0.428,0.0,2.905,106.1,507.9,1745.8,574.737,583.403,463.617,0,9,256,reports/S16_pnr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/spmw,E1,S32_cosim,E1,SPMW (gemm8),"32x32 int8 OS GEMM, one tile",32,cosim,rtl_cosim,300,pass,True,38,100,1024,,,,,,,,,,,104.5,479.6,,,,,,9,1024,reports/S32_cosim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/spmw,E1,S32_memcosim,E1,SPMW (gemm8),"32x32 int8 OS GEMM, one tile",32,memcosim,rtl_cosim_memory,300,unsupported,,,,,,,,,,,,,,,126.9,680.2,,,,,,9,1024,reports/S32_memcosim,"allo.spmw.errors.SPMWBindingError: a memory-mapped fabric has no mover for ['pe_c_mem'], so those channels would still have to be driven from outside; a `MemOut` gathered per site is not a transfer th",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/spmw,E1,S32_pnr,E1,SPMW (gemm8),"32x32 int8 OS GEMM, one tile",32,pnr,pnr_ooc,300,pass,,,,,37917,74945,1024,0,0,0,0,0.431,0.0,2.902,109.5,538.1,4187.5,1542.047,962.071,1369.441,0,9,1024,reports/S32_pnr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/spmw,E1,S4_cosim,E1,SPMW (gemm8),"4x4 int8 OS GEMM, one tile",4,cosim,rtl_cosim,300,pass,True,10,16,16,,,,,,,,,,,80.0,371.2,,,,,,9,16,reports/S4_cosim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/spmw,E1,S4_memcosim,E1,SPMW (gemm8),"4x4 int8 OS GEMM, one tile",4,memcosim,rtl_cosim_memory,300,unsupported,,,,,,,,,,,,,,,81.1,447.3,,,,,,9,16,reports/S4_memcosim,"allo.spmw.errors.SPMWBindingError: a memory-mapped fabric has no mover for ['pe_c_mem'], so those channels would still have to be driven from outside; a `MemOut` gathered per site is not a transfer th",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/spmw,E1,S4_pnr,E1,SPMW (gemm8),"4x4 int8 OS GEMM, one tile",4,pnr,pnr_ooc,300,pass,,,,,560,1021,16,0,0,0,0,1.167,0.0,2.166,80.8,375.3,316.1,80.99,170.646,32.252,0,9,16,reports/S4_pnr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e1_gemm/spmw,E1,S8_cosim,E1,SPMW (gemm8),"8x8 int8 OS GEMM, one tile",8,cosim,rtl_cosim,300,pass,True,14,28,64,,,,,,,,,,,88.2,404.3,,,,,,9,64,reports/S8_cosim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
