run_id,experiment_id,system,workload,numeric_semantics,implementation_mode,target_mhz,status,validation_pass,first_output_cycles,completion_cycles,steady_interval_cycles,transforms_streamed,lut,ff,dsp,bram_18k_equiv,bram_36k,bram_18k,uram,wns_ns,tns_ns,unrouted,hls_wall_s,synth_s,place_s,route_s,total_wall_s,interface,unroll_factor,report_paths,failure_reason,transform_size,config,ordering,stimulus,seeds,transforms_completed,cosim_wall_s,max_abs_error,max_norm_error,run_by,notes
allo-strided_n1024_raw_cosim,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",1024-point radix-2 complex FFT; 4 kernel calls back-to-back (one transform per call),"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,,327791,327764.0,4,,,,,,,,,,,958,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; wrap_io=False: kernel loops access m_axi directly",,"allo/reports/allo-strided_n1024_raw_cosim,allo/validation/allo-strided_n1024_raw_cosim",,1024,strided_fft FFT_SIZE=1024 wrap_io=False,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order","transform 0 = HP-FFT shipped test signal, transforms 1..3 = LCG(0x12345678) U[-1,1)",,4,,2.187e-05,1.450e-07,previous_agent,"Vitis cosim transaction report: per-call latency [327791, 327749, 327749, 327749] (ap_start to ap_done via s_axi_control), call intervals [327792, 327750, 327750]; calls do not overlap; first_output_cycles not observable (results are written back to m_axi by the store stage at the end of the call); 4 transforms checked; RTL outputs compared in bit-reversed index order"
allo-strided_n1024_raw_pnr,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)","1024-point radix-2 complex FFT (one fft kernel instance with its m_axi/s_axi adapters, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,ok,,,,,,4957,8019,20,6,0,6,0,0.646,0.0,0,958,134,198,38,419,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; wrap_io=False: kernel loops access m_axi directly",,allo/reports/allo-strided_n1024_raw_pnr,,1024,strided_fft FFT_SIZE=1024 wrap_io=False,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order",,,,,,,this_agent,"opt 13 s, phys_opt 1 s; 0 failing of 18266 endpoints; WHS 0.02 ns; routable nets 11912, routing errors 0"
allo-strided_n1024_wrap_cosim,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",1024-point radix-2 complex FFT; 6 kernel calls back-to-back (one transform per call),"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,,130299,130258.0,6,,,,,,,,,,,544,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; Allo wrap_io=True: load loops into on-chip buffers -> kernel -> store loops (1 float per beat per port)",,"allo/reports/allo-strided_n1024_wrap_cosim,allo/validation/allo-strided_n1024_wrap_cosim",,1024,strided_fft FFT_SIZE=1024 wrap_io=True,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order","numpy.random.RandomState seeds 0/1/2, re,im ~ U[-1,1) float32; 6 transforms = 2 per seed","0,1,2",6,,1.378e-05,1.719e-07,this_agent,"Vitis cosim transaction report: per-call latency [130299, 130257, 130257, 130257, 130257, 130257] (ap_start to ap_done via s_axi_control), call intervals [130300, 130258, 130258, 130258, 130258]; calls do not overlap; first_output_cycles not observable (results are written back to m_axi by the store stage at the end of the call); per seed: seed 0: pass (2 transforms, max abs err 1.03e-05), seed 1: pass (2 transforms, max abs err 9.56e-06), seed 2: pass (2 transforms, max abs err 1.38e-05); RTL outputs compared in bit-reversed index order"
allo-strided_n1024_wrap_cosim_lcg,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",1024-point radix-2 complex FFT; 4 kernel calls back-to-back (one transform per call),"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,,130299,130272.0,4,,,,,,,,,,,723,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; Allo wrap_io=True: load loops into on-chip buffers -> kernel -> store loops (1 float per beat per port)",,"allo/reports/allo-strided_n1024_wrap_cosim_lcg,allo/validation/allo-strided_n1024_wrap_cosim_lcg",,1024,strided_fft FFT_SIZE=1024 wrap_io=True,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order","transform 0 = HP-FFT shipped test signal, transforms 1..3 = LCG(0x12345678) U[-1,1)",,4,,2.187e-05,1.450e-07,previous_agent,"Vitis cosim transaction report: per-call latency [130299, 130257, 130257, 130257] (ap_start to ap_done via s_axi_control), call intervals [130300, 130258, 130258]; calls do not overlap; first_output_cycles not observable (results are written back to m_axi by the store stage at the end of the call); 4 transforms checked; RTL outputs compared in bit-reversed index order"
allo-strided_n1024_wrap_pnr,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)","1024-point radix-2 complex FFT (one fft kernel instance with its m_axi/s_axi adapters, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,ok,,,,,,4320,7561,16,12,2,8,0,0.438,0.0,0,723,133,219,39,442,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; Allo wrap_io=True: load loops into on-chip buffers -> kernel -> store loops (1 float per beat per port)",,allo/reports/allo-strided_n1024_wrap_pnr,,1024,strided_fft FFT_SIZE=1024 wrap_io=True,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order",,,,,,,this_agent,"opt 14 s, phys_opt 2 s; 0 failing of 16648 endpoints; WHS 0.019 ns; routable nets 11163, routing errors 0"
allo-strided_n128_raw_cosim,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",128-point radix-2 complex FFT; 4 kernel calls back-to-back (one transform per call),"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,,27430,27403.0,4,,,,,,,,,,,307,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; wrap_io=False: kernel loops access m_axi directly",,"allo/reports/allo-strided_n128_raw_cosim,allo/validation/allo-strided_n128_raw_cosim",,128,strided_fft FFT_SIZE=128 wrap_io=False,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order","transform 0 = HP-FFT shipped test signal, transforms 1..3 = LCG(0x12345678) U[-1,1)",,4,,4.872e-06,1.497e-07,previous_agent,"Vitis cosim transaction report: per-call latency [27430, 27388, 27388, 27388] (ap_start to ap_done via s_axi_control), call intervals [27431, 27389, 27389]; calls do not overlap; first_output_cycles not observable (results are written back to m_axi by the store stage at the end of the call); 4 transforms checked; RTL outputs compared in bit-reversed index order"
allo-strided_n128_raw_pnr,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)","128-point radix-2 complex FFT (one fft kernel instance with its m_axi/s_axi adapters, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,ok,,,,,,4999,8001,20,6,0,6,0,0.633,0.0,0,307,131,186,38,404,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; wrap_io=False: kernel loops access m_axi directly",,allo/reports/allo-strided_n128_raw_pnr,,128,strided_fft FFT_SIZE=128 wrap_io=False,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order",,,,,,,this_agent,"opt 13 s, phys_opt 1 s; 0 failing of 18229 endpoints; WHS 0.019 ns; routable nets 11891, routing errors 0"
allo-strided_n128_wrap_cosim,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",128-point radix-2 complex FFT; 6 kernel calls back-to-back (one transform per call),"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,,11586,11545.0,6,,,,,,,,,,,158,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; Allo wrap_io=True: load loops into on-chip buffers -> kernel -> store loops (1 float per beat per port)",,"allo/reports/allo-strided_n128_wrap_cosim,allo/validation/allo-strided_n128_wrap_cosim",,128,strided_fft FFT_SIZE=128 wrap_io=True,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order","numpy.random.RandomState seeds 0/1/2, re,im ~ U[-1,1) float32; 6 transforms = 2 per seed","0,1,2",6,,2.660e-06,1.360e-07,this_agent,"Vitis cosim transaction report: per-call latency [11586, 11544, 11544, 11544, 11544, 11544] (ap_start to ap_done via s_axi_control), call intervals [11587, 11545, 11545, 11545, 11545]; calls do not overlap; first_output_cycles not observable (results are written back to m_axi by the store stage at the end of the call); per seed: seed 0: pass (2 transforms, max abs err 2.26e-06), seed 1: pass (2 transforms, max abs err 2.66e-06), seed 2: pass (2 transforms, max abs err 2.58e-06); RTL outputs compared in bit-reversed index order"
allo-strided_n128_wrap_cosim_lcg,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)",128-point radix-2 complex FFT; 4 kernel calls back-to-back (one transform per call),"complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",cosim,300,ok,True,,11586,11559.0,4,,,,,,,,,,,245,,,,,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; Allo wrap_io=True: load loops into on-chip buffers -> kernel -> store loops (1 float per beat per port)",,"allo/reports/allo-strided_n128_wrap_cosim_lcg,allo/validation/allo-strided_n128_wrap_cosim_lcg",,128,strided_fft FFT_SIZE=128 wrap_io=True,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order","transform 0 = HP-FFT shipped test signal, transforms 1..3 = LCG(0x12345678) U[-1,1)",,4,,4.872e-06,1.497e-07,previous_agent,"Vitis cosim transaction report: per-call latency [11586, 11544, 11544, 11544] (ap_start to ap_done via s_axi_control), call intervals [11587, 11545, 11545]; calls do not overlap; first_output_cycles not observable (results are written back to m_axi by the store stage at the end of the call); 4 transforms checked; RTL outputs compared in bit-reversed index order"
allo-strided_n128_wrap_pnr,E2,"Allo (examples/machsuite/fft/strided: radix-2 DIF, in-place, sequential)","128-point radix-2 complex FFT (one fft kernel instance with its m_axi/s_axi adapters, out-of-context)","complex float32 (IEEE-754 binary32 real and imaginary parts; forward transform, unscaled)",pnr_ooc,300,ok,,,,,,4340,7622,16,10,2,6,0,0.697,0.0,0,245,137,197,37,422,"m_axi x4, 32-bit data (float real[N], img[N], real_twid[N/2], img_twid[N/2]; real/img in-place) + s_axi_control; Allo wrap_io=True: load loops into on-chip buffers -> kernel -> store loops (1 float per beat per port)",,allo/reports/allo-strided_n128_wrap_pnr,,128,strided_fft FFT_SIZE=128 wrap_io=True,"natural-order input, bit-reversed-order output (DIF); validated against numpy.fft permuted to bit-reversed index order",,,,,,,this_agent,"opt 13 s, phys_opt 2 s; 0 failing of 17111 endpoints; WHS 0.024 ns; routable nets 11190, routing errors 0"
