trial,model,arm,state,stopped_by,submitted,builds_used,routes_used,tokens,first_build_meeting_bars,best_latency,best_interval,model_seconds,tool_seconds,wall_seconds
anthropic_claude-opus-5__hls,anthropic/claude-opus-5,hls,complete,submit,True,3,1,300414,3,32,13,1142.1,1188.1,2330.3
anthropic_claude-opus-5__rtl,anthropic/claude-opus-5,rtl,complete,submit,True,2,1,204401,2,34,8,588.8,376.7,965.4
anthropic_claude-opus-5__spmw,anthropic/claude-opus-5,spmw,complete,submit,True,1,1,107350,1,33,14,639.3,591.5,1230.8
deepseek_deepseek-v4-pro__hls,deepseek/deepseek-v4-pro,hls,complete,submit,True,2,1,187897,2,39,8,1394.4,833.8,2228.2
deepseek_deepseek-v4-pro__rtl,deepseek/deepseek-v4-pro,rtl,complete,tokens,False,4,2,503813,1,31,8,4060.3,718.5,4778.8
deepseek_deepseek-v4-pro__spmw,deepseek/deepseek-v4-pro,spmw,complete,submit,True,2,1,67083,2,35,14,507.5,507.2,1014.7
moonshotai_kimi-k3__hls,moonshotai/kimi-k3,hls,complete,builds,False,8,0,317380,,72,14,1353.4,590.9,1944.3
moonshotai_kimi-k3__rtl,moonshotai/kimi-k3,rtl,complete,submit,True,2,2,122374,1,32,16,264.0,640.2,904.1
moonshotai_kimi-k3__spmw,moonshotai/kimi-k3,spmw,complete,submit,True,1,1,62073,1,35,14,4824.4,491.1,5315.6
openai_gpt-5_6-sol__hls,openai/gpt-5.6-sol,hls,complete,builds,False,8,0,296563,,,,414.2,1629.0,2043.2
openai_gpt-5_6-sol__rtl,openai/gpt-5.6-sol,rtl,complete,submit,True,7,3,524554,4,30,8,390.6,1202.5,1593.1
openai_gpt-5_6-sol__spmw,openai/gpt-5.6-sol,spmw,complete,submit,True,2,1,44014,2,34,14,156.6,694.1,850.7
z-ai_glm-5_3__hls,z-ai/glm-5.3,hls,complete,builds,False,8,0,478484,8,44,15,2916.1,1855.0,4771.1
z-ai_glm-5_3__rtl,z-ai/glm-5.3,rtl,running,running,False,5,3,468782,2,31,16,0.0,0.0,0.0
z-ai_glm-5_3__spmw,z-ai/glm-5.3,spmw,complete,submit,True,5,3,205076,4,53,14,1865.1,1816.9,3682.0
