trial,model,arm,build,tokens,model_seconds,tool_seconds,verdict,stages
anthropic_claude-opus-5__hls,anthropic/claude-opus-5,hls,1,55668,361.2,157.3,"STUDY RESULT TIMEOUT after 20001 cycles, 64 of 128 outputs seen","{""synthesise"": 1788841976.94, ""compile"": 1788841981.01, ""elaborate"": 1788841991.25, ""simulate"": 1788841997.31}"
anthropic_claude-opus-5__hls,anthropic/claude-opus-5,hls,2,126044,401.6,178.9,"STUDY RESULT TIMEOUT after 20001 cycles, 0 of 128 outputs seen","{""synthesise"": 1788842555.91, ""compile"": 1788842560.33, ""elaborate"": 1788842571.23, ""simulate"": 1788842577.9}"
anthropic_claude-opus-5__hls,anthropic/claude-opus-5,hls,3,232248,325.1,372.1,STUDY RESULT CORRECT,"{""synthesise"": 1788843252.75, ""compile"": 1788843257.22, ""elaborate"": 1788843269.62, ""simulate"": 1788843275.12}"
anthropic_claude-opus-5__rtl,anthropic/claude-opus-5,rtl,1,88494,479.3,11.1,STUDY RESULT   WRONG,"{""elaborate"": 1788841983.42, ""simulate"": 1788841989.22}"
anthropic_claude-opus-5__rtl,anthropic/claude-opus-5,rtl,2,145824,78.3,11.6,STUDY RESULT CORRECT,"{""elaborate"": 1788842073.25, ""simulate"": 1788842079.09}"
anthropic_claude-opus-5__spmw,anthropic/claude-opus-5,spmw,1,82588,598.1,134.7,STUDY RESULT CORRECT,"{""import"": 0.01, ""elaborate"": 0.0, ""generate"": 1.36, ""synthesise"": 91.17, ""assemble"": 24.29, ""wrap"": 0.0, ""compile"": 3.68, ""elaborate_rtl"": 6.85, ""simulate"": 5.95}"
deepseek_deepseek-v4-pro__hls,deepseek/deepseek-v4-pro,hls,1,104946,1172.5,21.3,STUDY BUILD FAIL synthesis,"{""synthesise"": 1788827570.54}"
deepseek_deepseek-v4-pro__hls,deepseek/deepseek-v4-pro,hls,2,147283,183.2,389.7,STUDY RESULT CORRECT,"{""synthesise"": 1788828122.31, ""compile"": 1788828126.57, ""elaborate"": 1788828138.33, ""simulate"": 1788828143.51}"
deepseek_deepseek-v4-pro__rtl,deepseek/deepseek-v4-pro,rtl,1,76328,1057.5,9.4,STUDY RESULT CORRECT,"{""elaborate"": 1788827458.59, ""simulate"": 1788827463.66}"
deepseek_deepseek-v4-pro__rtl,deepseek/deepseek-v4-pro,rtl,2,168393,1178.0,9.6,STUDY RESULT   WRONG,"{""elaborate"": 1788828998.4, ""simulate"": 1788829003.63}"
deepseek_deepseek-v4-pro__rtl,deepseek/deepseek-v4-pro,rtl,3,261377,819.6,9.4,STUDY RESULT CORRECT,"{""elaborate"": 1788829827.53, ""simulate"": 1788829832.57}"
